REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,value
Atlantis,DIST_TRA,CO2,1,2022,0.0
Atlantis,DIST_TRA,CO2,1,2023,0.0
Atlantis,DIST_TRA,CO2,1,2024,0.0
Atlantis,DIST_TRA,CO2,1,2025,0.0
Atlantis,DIST_TRA,CO2,1,2026,0.0
Atlantis,DIST_TRA,CO2,1,2027,0.0
Atlantis,DIST_TRA,CO2,1,2028,0.0
Atlantis,DIST_TRA,CO2,1,2029,0.0
Atlantis,DIST_TRA,CO2,1,2030,0.0
Atlantis,DIST_TRA,CO2,1,2031,0.0
Atlantis,DIST_TRA,CO2,1,2032,0.0
Atlantis,DIST_TRA,CO2,1,2033,0.0
Atlantis,DIST_TRA,CO2,1,2034,0.0
Atlantis,DIST_TRA,CO2,1,2035,0.0
Atlantis,DIST_TRA,CO2,1,2036,0.0
Atlantis,DIST_TRA,CO2,1,2037,0.0
Atlantis,DIST_TRA,CO2,1,2038,0.0
Atlantis,DIST_TRA,CO2,1,2039,0.0
Atlantis,DIST_TRA,CO2,1,2040,0.0
Atlantis,DIST_TRA,Nox,1,2014,0.0
Atlantis,DIST_TRA,Nox,1,2015,0.0
Atlantis,DIST_TRA,Nox,1,2016,0.0
Atlantis,DIST_TRA,Nox,1,2017,0.0
Atlantis,DIST_TRA,Nox,1,2018,0.0
Atlantis,DIST_TRA,Nox,1,2019,0.0
Atlantis,DIST_TRA,Nox,1,2020,0.0
Atlantis,DIST_TRA,Nox,1,2021,0.0
Atlantis,DIST_TRA,Nox,1,2022,0.0
Atlantis,DIST_TRA,Nox,1,2023,0.0
Atlantis,DIST_TRA,Nox,1,2024,0.0
Atlantis,DIST_TRA,Nox,1,2025,0.0
Atlantis,DIST_TRA,Nox,1,2026,0.0
Atlantis,DIST_TRA,Nox,1,2027,0.0
Atlantis,DIST_TRA,Nox,1,2028,0.0
Atlantis,DIST_TRA,Nox,1,2029,0.0
Atlantis,DIST_TRA,Nox,1,2030,0.0
Atlantis,DIST_TRA,Nox,1,2031,0.0
Atlantis,DIST_TRA,Nox,1,2032,0.0
Atlantis,DIST_TRA,Nox,1,2033,0.0
Atlantis,DIST_TRA,Nox,1,2034,0.0
Atlantis,DIST_TRA,Nox,1,2035,0.0
Atlantis,DIST_TRA,Nox,1,2036,0.0
Atlantis,DIST_TRA,Nox,1,2037,0.0
Atlantis,DIST_TRA,Nox,1,2038,0.0
Atlantis,DIST_TRA,Nox,1,2039,0.0
Atlantis,DIST_TRA,Nox,1,2040,0.0
Atlantis,DIST_RES,CO2,1,2014,0.0
Atlantis,DIST_RES,CO2,1,2015,0.0
Atlantis,DIST_RES,CO2,1,2016,0.0
Atlantis,DIST_RES,CO2,1,2017,0.0
Atlantis,DIST_RES,CO2,1,2018,0.0
Atlantis,DIST_RES,CO2,1,2019,0.0
Atlantis,DIST_RES,CO2,1,2020,0.0
Atlantis,DIST_RES,CO2,1,2021,0.0
Atlantis,DIST_RES,CO2,1,2022,0.0
Atlantis,DIST_RES,CO2,1,2023,0.0
Atlantis,DIST_RES,CO2,1,2024,0.0
Atlantis,DIST_RES,CO2,1,2025,0.0
Atlantis,DIST_RES,CO2,1,2026,0.0
Atlantis,DIST_RES,CO2,1,2027,0.0
Atlantis,DIST_RES,CO2,1,2028,0.0
Atlantis,DIST_RES,CO2,1,2029,0.0
Atlantis,DIST_RES,CO2,1,2030,0.0
Atlantis,DIST_RES,CO2,1,2031,0.0
Atlantis,DIST_RES,CO2,1,2032,0.0
Atlantis,DIST_RES,CO2,1,2033,0.0
Atlantis,DIST_RES,CO2,1,2034,0.0
Atlantis,DIST_RES,CO2,1,2035,0.0
Atlantis,DIST_RES,CO2,1,2036,0.0
Atlantis,DIST_RES,CO2,1,2037,0.0
Atlantis,DIST_RES,CO2,1,2038,0.0
Atlantis,DIST_RES,CO2,1,2039,0.0
Atlantis,DIST_RES,CO2,1,2040,0.0
Atlantis,DIST_RES,Nox,1,2014,0.0
Atlantis,DIST_RES,Nox,1,2015,0.0
Atlantis,DIST_RES,Nox,1,2016,0.0
Atlantis,DIST_RES,Nox,1,2017,0.0
Atlantis,DIST_RES,Nox,1,2018,0.0
Atlantis,DIST_RES,Nox,1,2019,0.0
Atlantis,DIST_RES,Nox,1,2020,0.0
Atlantis,DIST_RES,Nox,1,2021,0.0
Atlantis,DIST_RES,Nox,1,2022,0.0
Atlantis,DIST_RES,Nox,1,2023,0.0
Atlantis,DIST_RES,Nox,1,2024,0.0
Atlantis,DIST_RES,Nox,1,2025,0.0
Atlantis,DIST_RES,Nox,1,2026,0.0
Atlantis,DIST_RES,Nox,1,2027,0.0
Atlantis,DIST_RES,Nox,1,2028,0.0
Atlantis,DIST_RES,Nox,1,2029,0.0
Atlantis,DIST_RES,Nox,1,2030,0.0
Atlantis,DIST_RES,Nox,1,2031,0.0
Atlantis,DIST_RES,Nox,1,2032,0.0
Atlantis,DIST_RES,Nox,1,2033,0.0
Atlantis,DIST_RES,Nox,1,2034,0.0
Atlantis,DIST_RES,Nox,1,2035,0.0
Atlantis,DIST_RES,Nox,1,2036,0.0
Atlantis,DIST_RES,Nox,1,2037,0.0
Atlantis,DIST_RES,Nox,1,2038,0.0
Atlantis,DIST_RES,Nox,1,2039,0.0
Atlantis,DIST_RES,Nox,1,2040,0.0
Atlantis,DIST_SER,CO2,1,2014,0.0
Atlantis,DIST_SER,CO2,1,2015,0.0
Atlantis,DIST_SER,CO2,1,2016,0.0
Atlantis,DIST_SER,CO2,1,2017,0.0
Atlantis,DIST_SER,CO2,1,2018,0.0
Atlantis,DIST_SER,CO2,1,2019,0.0
Atlantis,DIST_SER,CO2,1,2020,0.0
Atlantis,DIST_SER,CO2,1,2021,0.0
Atlantis,DIST_SER,CO2,1,2022,0.0
Atlantis,DIST_SER,CO2,1,2023,0.0
Atlantis,DIST_SER,CO2,1,2024,0.0
Atlantis,DIST_SER,CO2,1,2025,0.0
Atlantis,DIST_SER,CO2,1,2026,0.0
Atlantis,DIST_SER,CO2,1,2027,0.0
Atlantis,DIST_SER,CO2,1,2028,0.0
Atlantis,DIST_SER,CO2,1,2029,0.0
Atlantis,DIST_SER,CO2,1,2030,0.0
Atlantis,DIST_SER,CO2,1,2031,0.0
Atlantis,DIST_SER,CO2,1,2032,0.0
Atlantis,DIST_SER,CO2,1,2033,0.0
Atlantis,DIST_SER,CO2,1,2034,0.0
Atlantis,DIST_SER,CO2,1,2035,0.0
Atlantis,DIST_SER,CO2,1,2036,0.0
Atlantis,DIST_SER,CO2,1,2037,0.0
Atlantis,DIST_SER,CO2,1,2038,0.0
Atlantis,DIST_SER,CO2,1,2039,0.0
Atlantis,DIST_SER,CO2,1,2040,0.0
Atlantis,DIST_SER,Nox,1,2014,0.0
Atlantis,DIST_SER,Nox,1,2015,0.0
Atlantis,DIST_SER,Nox,1,2016,0.0
Atlantis,DIST_SER,Nox,1,2017,0.0
Atlantis,DIST_SER,Nox,1,2018,0.0
Atlantis,DIST_SER,Nox,1,2019,0.0
Atlantis,DIST_SER,Nox,1,2020,0.0
Atlantis,DIST_SER,Nox,1,2021,0.0
Atlantis,DIST_SER,Nox,1,2022,0.0
Atlantis,DIST_SER,Nox,1,2023,0.0
Atlantis,DIST_SER,Nox,1,2024,0.0
Atlantis,DIST_SER,Nox,1,2025,0.0
Atlantis,DIST_SER,Nox,1,2026,0.0
Atlantis,DIST_SER,Nox,1,2027,0.0
Atlantis,DIST_SER,Nox,1,2028,0.0
Atlantis,DIST_SER,Nox,1,2029,0.0
Atlantis,DIST_SER,Nox,1,2030,0.0
Atlantis,DIST_SER,Nox,1,2031,0.0
Atlantis,DIST_SER,Nox,1,2032,0.0
Atlantis,DIST_SER,Nox,1,2033,0.0
Atlantis,DIST_SER,Nox,1,2034,0.0
Atlantis,DIST_SER,Nox,1,2035,0.0
Atlantis,DIST_SER,Nox,1,2036,0.0
Atlantis,DIST_SER,Nox,1,2037,0.0
Atlantis,DIST_SER,Nox,1,2038,0.0
Atlantis,DIST_SER,Nox,1,2039,0.0
Atlantis,DIST_SER,Nox,1,2040,0.0
